formatted_path,sum_pageviews,sum_unique_pageviews,sum_time_on_page,time_per_view,name,nouns
/blog/2020/11/23/acid-transactions-on-data-lakes,624,514,245400,393.2692307692308,acid transactions on data lakes,"[""acid"",""transactions"",""data"",""lakes""]"
/blog/2021/06/04/databricks.com/blog/2021/06/04/dont-miss-these-top-10-announcements-from-data-ai-summit,9,6,2157,239.66666666666666,databricks.com,"[""blog/2021/06/04"",""dont"",""announcements"",""data"",""ai"",""summit""]"
/blog/2020/06/05/modernizing-risk-management-part-2-aggregations-backtesting-at-scale-and-introducing-alternative-data,4886,3948,3025884,619.2967662709783,modernizing risk management part 2 aggregations backtesting at scale and introducing alternative data,"[""risk"",""management"",""part-2"",""aggregations"",""backtesting"",""scale"",""data""]"
/blog/2020/06/29/celebrating-pride-month-at-databricks,493,451,127928,259.4888438133874,celebrating pride month at databricks,"[""pride"",""month"",""databricks""]"
/blog/2020/12/18,1,1,5,5,NA,[]
/blog/2021/07/22,1,1,204,204,NA,[]
/blog/2020/05/29/adaptive-query-execution-speeding=up-spark-sql-at-runtime,1,1,9,9,adaptive query execution speeding=up spark sql at runtime,"[""query"",""execution"",""speeding"",""spark"",""sql"",""runtime""]"
/blog/2020/06/16/healthcare-and-life-sciences-sessions-you-dont-want-to-miss-at-spark-ai-summit-2020,550,438,232741,423.16545454545457,healthcare and life sciences sessions you dont want to miss at spark ai summit 2020,"[""healthcare"",""life"",""sciences"",""sessions"",""dont"",""spark"",""ai"",""summit-2020""]"
/blog/2020/07/10,1,1,6,6,NA,[]
/blog/2021/06/18/how-databricks-supports-digital-native-companies-in-their-hyper-growth-journey,320,276,199913,624.728125,how databricks supports digital native companies in their hyper growth journey,"[""databricks"",""supports"",""companies"",""growth"",""journey""]"
/blog/2020/08/12/modern-industrial-iot-analytics-on-azure-part-2,1,1,26,26,modern industrial iot analytics on azure part 2,"[""iot"",""analytics"",""azure""]"
/blog/2020/06/16/simplify-data-conversion-from-apache-spark-to-tensorflow-and-pytorch,2682,2308,1023644,381.6718866517524,simplify data conversion from apache spark to tensorflow and pytorch,"[""simplify"",""data"",""conversion"",""apache"",""spark"",""tensorflow"",""pytorch""]"
/blog/2021/07/13/announcement-orchestrating-multiple-tasks-with-databricks-jobs-public-preview,7882,6800,5312422,673.9941639177873,announcement orchestrating multiple tasks with databricks jobs public preview,"[""announcement"",""tasks"",""databricks"",""jobs"",""preview""]"
/blog/2021/12/15,1,1,24,24,NA,[]
/blog/2020/05/11/databricks-launches-global-university-alliance-program,2159,1744,782186,362.29087540528025,databricks launches global university alliance program,"[""databricks"",""launches"",""university"",""alliance"",""program""]"
/blog/2021/03/16/segmentation-in-the-age-of-personalization,1135,890,482358,424.9850220264317,segmentation in the age of personalization,"[""segmentation"",""age"",""personalization""]"
/blog/2021/08/24/improving-on-shelf-availability-for-items-with-ai-out-of-stock-modeling,1156,991,609851,527.55276816609,improving on shelf availability for items with ai out of stock modeling,"[""shelf"",""availability"",""items"",""ai"",""stock"",""modeling""]"
/blog/2020/05/19/manage-and-scale-machine-learning-models-for-iot-devices,1006,883,404334,401.9224652087475,manage and scale machine learning models for iot devices,"[""scale"",""machine"",""learning"",""models"",""iot"",""devices""]"
